CustomerID,TotalSpending,TotalTransaction,TotalQuantity,AvgPrice,Recency
12346,372.86,11,70,6.25,165
12347,1323.32,2,828,2.3,3
12348,222.16,1,373,0.72,74
12349,2671.14,3,993,8.58,43
12351,300.93,1,261,2.36,11
12352,343.8,2,188,3.03,11
12353,317.76,1,192,1.94,44
12355,488.21,1,303,2.4,203
12356,3560.3,3,1825,3.13,16
12357,12079.99,2,3879,8.46,24
12358,2719.01,3,831,4.42,11
12359,2563.36,6,1130,4.73,61
12360,1590.83,5,1294,2.71,15
12361,321.35,3,144,4.15,98
12362,130.0,1,1,130.0,374
12366,500.24,1,296,1.69,269
12368,917.7,1,330,4.39,264
12369,1791.15,3,1241,3.15,49
12370,774.62,3,252,6.41,260
12371,2179.42,3,845,4.06,45
12373,763.05,2,319,4.64,260
12374,2246.29,3,1020,2.99,57
12376,503.15,2,240,8.03,25
12377,1798.2,2,1161,2.76,17
12378,1407.7,1,787,4.4,198
12379,767.98,2,408,2.95,58
12380,6951.49,7,2228,13.81,101
12385,1938.4,1,612,3.68,15
12386,258.9,1,214,2.73,2
12387,143.94,1,134,2.76,51
12388,1120.45,2,539,2.93,81
12389,1433.33,3,614,2.65,38
12391,2285.18,5,911,4.52,100
12392,234.75,1,73,5.04,227
12393,816.85,2,495,2.78,18
12395,2048.64,4,1615,2.97,7
12396,931.43,1,591,2.3,310
12399,853.65,3,1020,1.96,21
12400,205.25,1,91,2.91,50
12402,1031.3,5,490,3.31,28
12403,591.66,1,164,7.13,157
12404,63.24,1,1,63.24,318
12406,2975.06,3,1598,2.6,35
12408,1452.22,3,820,3.21,21
12409,12346.62,4,7592,3.0,56
12410,320.38,1,130,5.42,138
12411,346.9,1,138,3.4,45
12412,1370.05,3,1168,2.43,38
12413,241.35,1,33,9.13,38
12414,390.0,3,195,30.35,99
12415,19543.84,7,14073,3.08,11
12416,202.56,1,132,1.53,292
12417,3148.31,11,1342,5.55,46
12418,1352.62,3,681,3.24,49
12419,503.01,2,231,5.04,21
12421,291.56,2,168,5.34,51
12422,4428.24,14,2226,12.21,30
12423,763.08,2,454,3.15,23
12424,1579.07,2,1285,1.9,58
12425,964.21,1,651,2.3,84
12426,762.48,1,326,3.32,298
12427,303.5,1,79,4.92,7
12429,3735.51,5,1787,2.96,1
12431,4370.52,13,1811,3.87,9
12433,7205.39,5,6045,2.01,2
12434,297.29,1,138,3.41,17
12435,6096.04,4,2903,2.9,32
12437,7731.99,21,5078,3.02,31
12439,1142.88,2,478,3.71,318
12440,859.2,2,331,5.45,98
12441,173.55,1,121,3.7,2
12443,485.31,1,182,5.87,368
12445,301.58,1,144,2.77,56
12449,768.6,2,729,2.69,46
12450,490.32,3,314,2.4,35
12451,3634.36,3,2784,2.27,99
12454,13151.44,4,6697,11.58,31
12455,3413.09,4,1213,4.4,81
12457,632.68,1,251,6.36,71
12458,830.09,2,480,3.67,63
12459,454.36,1,258,4.15,241
12460,326.65,1,170,4.38,92
12466,56.73,1,1,56.73,318
12467,132.8,1,129,1.62,59
12468,2941.2,3,1835,2.52,162
12469,3070.54,2,2552,3.0,158
12470,211.95,1,95,3.93,325
12471,20129.54,49,8667,3.47,10
12472,11308.48,13,7202,2.39,5
12474,5048.66,13,3107,3.08,14
12475,426.26,1,236,3.31,45
12476,7267.49,12,3223,4.15,32
12477,7056.63,3,2466,3.96,35
12480,2183.22,3,1245,3.43,35
12481,6765.07,6,3949,4.63,1
12482,23691.4,29,27042,9.93,212
12483,2612.2,11,1050,7.41,14
12484,1826.78,6,1079,2.92,119
12485,708.1,1,414,2.41,165
12486,1037.28,1,523,4.1,67
12487,285.3,1,174,2.0,366
12490,4405.71,11,2842,3.05,14
12492,452.0,1,252,3.18,39
12494,626.77,3,281,4.42,1
12495,357.4,1,130,5.71,276
12496,45.34,2,30,1.93,256
12497,5205.4,2,4449,1.82,36
12499,393.72,1,302,2.33,196
12500,1697.39,8,699,4.07,71
12503,1126.0,1,561,115.8,220
12504,297.0,2,368,4.05,53
12505,955.2,1,324,4.44,44
12507,539.25,1,362,3.54,220
12510,4195.45,7,1696,15.98,95
12511,3084.02,1,1753,3.43,64
12514,580.08,1,400,1.8,277
12516,1336.56,2,1077,1.97,66
12519,385.7,1,212,3.27,112
12523,2562.58,12,1398,4.04,10
12524,6640.39,9,3479,3.49,24
12525,973.73,3,509,3.01,134
12527,386.8,2,292,2.16,130
12529,316.48,1,192,3.04,164
12530,2096.98,5,1800,2.84,51
12531,1807.98,1,1074,2.37,322
12533,1367.89,2,704,3.3,263
12537,732.94,1,449,2.92,44
12538,276.5,1,145,4.13,14
12539,5646.4,3,2468,3.31,86
12540,8854.25,16,4334,3.96,14
12542,481.88,2,522,2.47,120
12543,980.25,1,688,2.61,84
12547,175.78,1,175,3.08,136
12549,1575.68,6,1366,1.65,211
12553,916.47,2,360,4.65,21
12554,468.5,1,240,3.82,84
12555,129.23,1,1,129.23,318
12557,6725.18,4,2398,2.17,7
12562,1185.18,2,548,3.6,21
12563,249.24,1,113,3.92,44
12567,4308.58,7,1781,4.19,3
12568,70.0,1,48,6.23,280
12570,77.52,1,1,77.52,318
12573,556.87,4,395,2.25,17
12575,622.82,2,315,3.57,93
12576,826.89,3,527,2.87,28
12577,990.5,5,722,1.83,17
12578,1847.94,2,1184,3.03,21
12580,637.2,1,331,2.61,212
12582,1469.04,2,685,3.48,58
12583,7166.06,13,3924,3.09,9
12586,1865.73,3,608,5.24,10
12588,743.88,3,385,6.51,35
12589,4048.98,6,1458,10.71,57
12591,886.1,2,425,4.78,26
12592,2145.06,3,1585,12.98,155
12594,1751.89,5,991,3.13,14
12595,299.02,1,271,3.19,140
12598,1511.01,3,942,2.74,99
12599,1264.14,6,1233,2.58,17
12600,2444.88,12,640,6.17,7
12601,104.2,1,45,8.16,40
12605,1232.95,4,929,2.22,12
12606,21.0,1,1,21.0,318
12608,415.79,1,323,1.63,40
12609,2309.01,6,905,4.17,10
12613,3472.99,5,2513,2.98,24
12615,3449.79,4,1941,3.04,49
12616,417.8,1,214,3.68,24
12619,140.14,1,140,2.55,196
12621,11086.14,16,6493,3.23,1
12623,3442.74,6,1781,2.99,52
12625,2481.06,2,1697,2.43,145
12629,1558.22,2,722,4.0,21
12631,2841.07,5,1371,2.84,92
12632,804.88,2,694,2.23,156
12633,3514.18,3,2076,2.97,18
12634,490.0,2,337,7.78,171
12635,1241.23,2,777,2.8,28
12636,141.0,1,1,141.0,374
12637,2280.91,4,1263,2.32,14
12638,249.8,1,86,6.89,275
12639,826.27,2,430,4.24,70
12643,4960.18,6,2857,8.99,21
12644,1440.58,3,707,3.63,66
12645,1764.12,4,1041,2.63,45
12647,14201.53,27,5455,4.68,3
12648,793.95,3,358,3.94,73
12649,1671.14,5,1373,2.72,18
12651,263.75,3,187,1.95,14
12652,97.05,1,31,5.0,70
12653,1950.98,1,762,2.91,162
12655,261.35,1,80,5.49,59
12656,2356.66,3,1137,3.3,61
12661,162.0,1,216,0.88,72
12662,3138.24,10,1523,3.56,9
12663,239.4,2,181,5.84,260
12664,1188.16,2,292,12.72,150
12665,250.6,2,128,4.51,53
12666,1248.42,1,370,3.85,30
12668,7575.88,6,3415,3.5,14
12670,764.24,2,230,5.53,21
12671,2622.48,1,1460,2.73,242
12672,211.15,1,60,5.14,231
12673,619.5,1,349,3.01,37
12675,957.25,2,336,3.8,189
12676,1511.7,5,1197,3.94,44
12677,395.1,2,176,4.05,191
12678,16652.72,9,11449,3.43,11
12681,17080.74,24,10060,2.85,3
12682,11745.69,23,5443,3.43,1
12683,4220.21,8,2696,2.93,1
12686,89.14,1,107,3.26,7
12687,2138.91,2,1403,4.48,116
12691,134.6,1,51,5.36,56
12692,110.95,1,36,3.12,273
12693,847.11,3,281,4.71,32
12694,973.68,1,846,2.11,57
12695,825.02,3,234,5.89,164
12696,851.91,2,564,3.29,70
12698,339.75,1,111,5.1,226
12699,638.11,1,373,3.11,53
12701,1648.7,4,1049,2.92,165
12703,722.98,3,431,3.03,269
12705,4893.81,5,3191,2.31,19
12708,2601.19,9,1214,3.89,4
12709,21107.94,20,9999,4.13,2
12711,1339.05,2,770,2.58,247
12712,2797.53,10,1287,4.33,1
12714,9384.85,7,5705,2.67,24
12717,277.93,1,94,5.96,226
12720,2478.94,6,1645,2.77,5
12721,1356.95,2,696,4.05,21
12724,1286.11,3,934,2.89,19
12725,2266.76,4,1142,5.96,7
12726,1405.5,4,1475,2.36,23
12727,1698.83,3,734,3.42,78
12728,233.84,1,124,3.97,19
12730,829.25,1,234,4.92,157
12731,6879.8,5,3204,3.44,78
12733,2040.92,3,759,3.42,25
12734,529.25,2,177,4.54,10
12737,3710.5,2,2,1855.25,134
12738,155.35,1,148,3.95,8
12739,1713.69,2,465,11.27,21
12741,406.07,2,214,12.22,165
12742,1201.52,1,1359,1.71,261
12744,4037.77,4,1753,3.18,95
12745,925.41,3,468,11.72,122
12746,254.55,1,97,3.48,176
12747,5061.03,16,1473,4.34,5
12748,22457.9,144,13110,3.6,1
12749,2806.48,4,889,6.17,35
12751,268.27,1,189,1.83,80
12755,5218.71,10,2290,1.95,1
12758,7111.65,5,4020,2.5,95
12759,3489.3,5,2300,2.72,22
12760,347.8,1,198,2.98,91
12761,782.95,2,281,4.39,93
12763,320.08,1,196,1.81,5
12765,1404.58,6,1009,2.65,108
12766,3078.65,3,1800,2.81,2
12767,949.82,1,598,2.09,11
12768,168.69,1,102,3.01,86
12770,1895.0,1,1100,2.73,92
12771,282.3,1,104,5.66,121
12773,124.25,1,109,2.02,200
12774,98.7,1,53,3.97,171
12775,300.08,2,206,3.46,24
12776,55.5,1,46,7.53,303
12777,519.45,1,458,3.2,93
12778,953.45,3,910,2.61,32
12779,2740.91,7,1617,2.58,7
12780,337.4,1,285,3.04,234
12782,2287.32,6,931,4.07,10
12784,1230.33,1,582,3.65,165
12785,788.45,2,322,5.52,171
12786,728.5,1,324,3.1,245
12787,398.52,1,249,2.42,49
12788,444.9,4,194,4.12,99
